가구일련번호,향후거주의향,입력된가구원수계,나이,주택형태,성별,교육정도,혼인상태,지역 거주기간,통근시간(분),월평균가구소득
F00001,4,3,26,,1,6,1,19,30,
F00001,4,3,48,,2,6,2,19,,
F00001,4,3,51,2,1,6,2,19,10,4
F00002,4,2,63,,2,2,2,30,,
F00002,5,2,71,2,1,2,2,30,30,4
F00003,4,2,71,,2,3,2,47,,
F00003,4,2,74,2,1,4,2,47,30,3
F00004,4,4,42,,2,5,2,10,20,
F00004,3,4,46,2,1,5,2,10,20,9
F00005,3,3,16,,1,3,1,10,15,
F00005,3,3,45,2,2,7,2,10,30,6
F00006,2,4,16,,2,4,1,16,40,
F00006,1,4,18,,1,4,1,18,40,
F00006,4,4,46,,2,5,2,20,,
F00006,4,4,50,2,1,5,2,20,20,6
F00007,4,2,63,2,2,6,2,10,,4
F00007,4,2,65,,1,6,2,10,,
F00008,5,4,38,2,2,6,2,10,,10
F00008,4,4,43,,1,6,2,33,20,
F00009,3,2,50,,2,4,2,28,,
F00009,4,2,55,2,1,5,2,50,20,6
F00010,2,4,36,2,1,6,2,30,,10
F00010,3,4,38,,2,6,2,5,20,
F00011,4,2,64,,2,3,2,18,,
F00011,4,2,70,2,1,4,2,18,20,5
F00012,4,3,57,,2,6,1,18,,
F00012,4,3,85,,2,4,2,20,,
F00012,5,3,85,2,1,6,2,20,,3
F00013,5,2,53,,2,6,2,18,,
F00013,5,2,60,2,1,6,2,18,,7
F00014,5,1,82,2,1,6,3,50,,6
F00015,4,3,23,,1,6,1,18,,
F00015,4,3,57,,2,4,2,18,,
F00015,4,3,62,2,1,4,2,21,,6
F00016,3,2,60,,2,4,2,13,30,
F00016,4,2,60,2,1,6,2,20,25,5
F00017,4,4,18,,1,4,1,16,40,
F00017,2,4,22,,1,6,1,16,30,
F00017,5,4,48,,2,4,2,17,,
F00017,4,4,52,2,1,7,2,16,30,7
F00018,2,4,15,,2,3,1,14,7,
F00018,4,4,45,,2,5,2,14,50,
F00018,4,4,47,2,1,5,2,14,35,8
F00019,3,3,24,,1,5,1,15,,
F00019,4,3,56,,2,7,2,23,,
F00019,3,3,60,2,1,6,2,18,,4
F00020,4,4,39,,2,5,2,15,,
F00020,4,4,40,2,1,5,2,14,40,7
F00021,3,6,18,,2,4,1,18,30,
F00021,3,6,20,,2,6,1,20,30,
F00021,3,6,46,,2,4,2,20,40,
F00021,3,6,51,2,1,4,2,20,40,6
F00021,3,6,85,,1,2,2,20,,
F00021,3,6,85,,2,2,2,20,,
F00022,2,4,41,2,2,6,2,13,40,6
F00022,4,4,47,,1,6,2,14,,
F00023,5,2,85,,2,2,2,20,,
F00023,5,2,85,2,1,3,2,20,,2
F00024,5,3,19,,1,6,1,15,,
F00024,4,3,50,,2,5,2,15,30,
F00024,3,3,52,2,1,5,2,15,30,7
F00025,5,2,67,,2,4,2,29,,
F00025,5,2,68,2,1,6,2,29,,6
F00026,5,2,59,,2,5,2,20,,
F00026,5,2,65,2,1,6,2,20,20,5
F00027,4,4,18,,1,5,1,12,,
F00027,4,4,50,2,1,6,2,12,,7
F00027,4,4,52,,2,6,2,12,,
F00028,5,2,84,,2,2,2,19,,
F00028,5,2,85,2,1,1,2,19,,3
F00029,5,2,73,,2,2,2,50,,
F00029,5,2,78,2,1,2,2,50,,3
F00030,4,4,38,2,1,6,2,33,,7
F00030,5,4,39,,2,6,2,10,,
F00031,4,4,36,,2,6,2,12,40,
F00031,5,4,39,2,1,6,2,39,20,10
F00032,2,4,34,2,2,6,2,7,30,10
F00032,3,4,39,,1,5,2,34,40,
F00033,4,4,17,,2,4,1,17,15,
F00033,4,4,19,,1,6,1,19,30,
F00033,4,4,51,,2,4,2,20,,
F00033,4,4,52,2,1,5,2,20,40,8
F00034,3,3,39,,2,7,2,8,,
F00034,5,3,39,2,1,6,2,38,,10
F00035,3,1,71,2,1,4,2,50,20,4
F00036,4,4,17,,1,4,1,13,15,
F00036,5,4,20,,2,6,1,13,30,
F00036,5,4,46,,1,5,2,14,,
F00036,4,4,46,2,2,5,2,40,30,5
F00037,3,3,20,,1,6,1,19,40,
F00037,3,3,41,,2,6,2,20,,
F00037,4,3,48,2,1,6,2,20,20,4
F00038,2,4,44,2,2,6,2,40,10,10
F00038,3,4,45,,1,6,2,40,30,
F00039,4,4,20,,1,6,1,20,30,
F00039,4,4,23,,1,6,1,23,30,
F00039,4,4,51,2,2,5,2,50,40,10
F00039,4,4,53,,1,6,2,24,30,
F00040,4,3,23,,1,5,1,23,,
F00040,2,3,56,,2,5,2,30,,
F00040,4,3,59,2,1,7,2,28,,9
F00041,4,1,60,2,2,4,2,30,,8
F00042,3,3,24,,1,5,1,5,10,
F00042,4,3,53,,2,4,2,5,,
F00042,4,3,57,2,1,6,2,5,,7
F00043,4,2,58,,2,4,2,28,20,
F00043,4,2,58,2,1,4,2,28,10,6
F00044,4,2,60,,2,4,2,32,10,
F00044,3,2,66,2,1,6,2,45,40,5
F00045,2,3,22,,2,5,1,16,15,
F00045,4,3,51,,2,6,2,20,10,
F00045,4,3,51,2,1,6,2,20,20,10
F00046,3,1,85,2,2,1,3,25,,2
F00047,3,1,70,2,2,3,3,14,,2
F00048,4,1,74,2,2,4,3,37,,2
F00049,4,1,66,2,1,3,4,50,20,3
F00050,2,2,66,,2,3,2,25,,
F00050,4,2,71,2,1,6,2,26,30,3
F00051,4,1,70,2,2,2,3,45,,2
F00052,5,2,62,,2,4,2,30,20,
F00052,4,2,63,2,1,4,2,30,40,5
F00053,2,2,31,,2,7,2,1,,
F00053,4,2,31,2,1,8,2,31,10,8
F00054,5,2,67,,2,4,2,45,,
F00054,4,2,76,2,1,4,2,45,,2
F00055,3,2,33,,2,7,2,2,,
F00055,2,2,33,2,1,6,2,3,,6
F00056,2,3,18,,1,4,1,18,40,
F00056,2,3,46,,2,6,2,20,,
F00056,3,3,49,2,1,5,2,44,40,4
F00057,1,2,34,,2,5,2,5,50,
F00057,1,2,40,2,1,7,2,5,,8
F00058,5,2,33,,2,6,2,3,40,
F00058,4,2,35,2,1,6,2,3,20,8
F00059,3,3,30,,1,6,1,30,30,
F00059,4,3,79,,2,2,2,60,,
F00059,4,3,79,2,1,3,2,60,,4
F00060,5,2,29,,1,5,1,29,35,
F00060,4,2,62,2,2,4,4,37,20,5
F00061,2,3,27,,2,4,2,3,,
F00061,2,3,32,2,1,6,2,23,,7
F00062,4,2,68,,2,4,2,30,,
F00062,4,2,78,2,1,4,2,30,,2
F00063,4,4,15,,2,4,1,15,20,
F00063,3,4,15,,2,4,1,15,20,
F00063,4,4,44,2,1,6,2,20,30,5
F00063,4,4,49,,2,5,2,25,,
F00064,4,2,75,,2,4,2,11,,
F00064,4,2,78,2,1,4,2,78,,3
F00065,4,2,30,,2,6,2,1,30,
F00065,3,2,33,2,1,5,2,1,,6
F00066,4,3,33,,2,6,2,4,,
F00066,4,3,33,2,1,7,2,4,30,5
F00067,4,1,78,2,2,2,3,30,,2
F00068,4,1,76,2,2,4,3,30,,3
F00069,4,2,65,,2,3,2,34,,
F00069,4,2,68,2,1,3,2,34,,3
F00070,4,2,50,2,2,4,4,50,20,3
F00070,4,2,84,,2,1,3,51,,
F00071,4,5,43,,2,7,2,20,20,
F00071,4,5,45,2,1,6,2,30,40,9
F00072,4,2,44,2,2,4,1,44,30,4
F00072,4,2,74,,2,2,3,45,,
F00073,4,2,60,,2,3,2,34,40,
F00073,4,2,61,2,1,2,2,34,50,5
F00074,4,4,45,,2,7,2,17,40,
F00074,4,4,45,2,1,7,2,38,20,9
F00075,3,4,22,,1,6,1,15,,
F00075,4,4,27,,1,6,1,15,,
F00075,4,4,52,,2,6,2,15,30,
F00075,4,4,56,2,1,5,2,15,20,6
F00076,3,1,65,4,2,7,1,50,,3
F00077,3,2,27,,2,4,1,3,,
F00077,4,2,30,3,2,4,1,4,40,4
F00078,3,1,43,3,1,4,1,7,,5
F00079,2,2,31,,2,6,2,3,30,
F00079,2,2,35,3,1,6,2,7,30,5
F00080,3,1,50,3,2,5,4,1,5,6
F00081,4,1,34,3,2,6,1,13,20,3
F00082,5,1,82,3,2,3,3,61,,2
F00083,3,4,18,,2,4,1,12,10,
F00083,3,4,22,,1,5,1,12,20,
F00083,5,4,50,,2,4,2,40,30,
F00083,2,4,51,1,1,5,2,12,30,6
F00084,5,2,81,,2,1,2,56,,
F00084,5,2,85,1,1,4,2,56,,3
F00085,4,1,60,4,1,4,4,5,20,2
F00086,2,1,55,4,1,6,2,55,20,3
F00087,2,1,59,4,1,4,2,5,20,3
F00088,2,1,53,4,1,4,2,10,5,3
F00089,2,1,72,4,1,1,3,10,20,3
F00090,3,1,38,4,1,5,1,3,15,6
F00091,3,3,41,,1,5,1,35,10,
F00091,4,3,63,,2,2,2,30,,
F00091,4,3,70,2,1,4,2,30,,5
F00092,5,1,68,2,2,3,3,38,,2
F00093,4,2,68,,2,3,2,33,,
F00093,4,2,74,2,1,3,2,33,,2
F00094,5,1,60,2,2,4,4,40,20,3
F00095,4,3,38,,1,4,1,37,15,
F00095,4,3,72,,2,2,2,40,20,
F00095,5,3,77,2,1,4,2,77,,5
F00096,4,3,26,,1,6,1,26,,
F00096,4,3,52,,2,4,2,17,10,
F00096,4,3,54,2,1,4,2,28,,6
F00097,4,3,27,,1,4,1,27,59,
F00097,3,3,61,,2,3,2,33,,
F00097,3,3,65,2,1,2,2,33,,4
F00098,3,4,17,,1,3,1,17,30,
F00098,4,4,23,,2,6,1,21,,
F00098,4,4,53,,2,3,2,30,30,
F00098,4,4,56,2,1,4,2,53,20,6
F00099,5,3,35,,1,6,1,30,30,
F00099,3,3,63,,2,4,2,30,30,
F00099,3,3,67,2,1,4,2,30,,7
F00100,3,3,30,,1,5,1,30,,
F00100,5,3,54,,2,4,2,35,30,
F00100,4,3,60,2,1,4,2,30,30,7
F00101,2,2,48,2,1,6,2,40,,6
F00101,2,2,49,,2,6,2,49,30,
F00102,3,3,33,,2,5,1,33,40,
F00102,4,3,35,,2,4,1,35,10,
F00102,5,3,61,2,2,3,3,61,20,8
F00103,2,2,67,,2,3,2,34,,
F00103,4,2,67,2,1,3,2,34,30,4
F00104,5,1,65,1,2,2,4,35,15,3
F00105,5,1,85,3,2,2,3,60,,3
F00106,5,1,71,3,2,3,3,15,,2
F00107,3,3,28,,2,6,1,28,,
F00107,3,3,61,,2,4,2,30,,
F00107,3,3,66,3,1,4,2,30,40,5
F00108,5,1,75,3,2,2,3,30,,2
F00109,3,1,62,3,1,4,3,18,40,2
F00110,4,3,17,,2,4,1,17,40,
F00110,4,3,52,,2,4,2,49,50,
F00110,4,3,55,3,1,5,2,28,30,5
F00111,4,1,51,3,1,5,1,10,,1
F00112,5,1,66,1,1,3,4,50,,4
F00113,5,1,85,3,2,2,3,17,,1
F00114,3,3,21,,1,6,1,20,,
F00114,4,3,50,3,1,4,2,20,40,6
F00114,4,3,60,,2,4,2,20,40,
F00115,5,1,80,3,2,2,3,30,10,3
F00116,5,1,32,1,2,4,1,3,30,4
F00117,4,1,64,1,1,2,3,25,,1
F00118,5,1,57,1,2,6,3,51,25,5
F00119,2,2,68,,2,4,2,6,,
F00119,2,2,71,3,1,4,2,6,,2
F00120,3,4,18,,1,4,1,7,,
F00120,5,4,20,,1,4,1,7,40,
F00120,5,4,48,3,1,8,2,7,10,5
F00120,5,4,50,,2,6,2,7,,
F00121,4,1,73,3,2,2,3,18,,2
F00122,1,4,41,,2,5,2,10,,
F00122,3,4,41,3,1,5,2,30,40,7
F00123,4,4,15,,2,3,1,15,20,
F00123,4,4,45,,2,4,2,16,,
F00123,3,4,47,3,1,5,2,25,40,5
F00124,4,2,55,,2,4,2,16,,
F00124,3,2,58,3,1,5,2,17,10,3
F00125,4,3,47,,2,4,2,20,,
F00125,4,3,49,3,1,4,2,20,,10
F00126,5,3,40,,2,4,2,40,,
F00126,3,3,40,3,1,6,2,30,10,4
F00127,5,4,40,,2,5,2,17,,
F00127,2,4,41,3,1,4,2,10,,5
F00128,4,2,62,,2,2,2,7,,
F00128,3,2,66,3,1,4,2,10,,3
F00129,5,2,71,,2,2,2,36,,
F00129,4,2,72,3,1,2,2,36,,2
F00130,3,4,16,,2,4,1,16,25,
F00130,4,4,46,3,2,5,4,27,,3
F00131,4,2,38,,2,4,2,29,40,
F00131,3,2,40,3,1,4,2,7,40,7
F00132,4,3,36,,1,5,1,32,40,
F00132,4,3,59,,2,4,2,59,40,
F00132,4,3,63,3,1,4,2,63,30,6
F00133,4,5,17,,1,4,1,17,15,
F00133,4,5,23,,1,4,1,23,50,
F00133,4,5,25,,1,4,1,24,10,
F00133,4,5,45,,2,4,2,24,10,
F00133,4,5,48,3,1,4,2,24,30,5
F00134,4,1,71,3,2,2,3,30,,2
F00135,5,2,72,,2,3,2,49,,
F00135,5,2,79,3,1,4,2,49,,3
F00136,4,2,62,3,1,3,2,7,10,2
F00136,4,2,63,,2,4,2,7,30,
F00137,5,1,85,3,2,2,3,50,,1
F00138,5,2,62,,2,4,2,30,,
F00138,5,2,67,3,1,4,2,30,,5
F00139,4,2,72,,2,2,2,32,,
F00139,4,2,75,3,1,4,2,32,20,3
F00140,3,1,78,3,2,2,3,33,,2
F00141,4,1,75,3,2,2,3,30,,1
F00142,5,2,68,,2,2,2,55,,
F00142,5,2,79,3,1,2,2,55,,2
F00143,4,2,52,,2,4,2,30,,
F00143,4,2,54,3,1,3,2,30,30,4
F00144,3,2,39,,2,5,2,20,,
F00144,3,2,43,3,1,4,2,20,30,4
F00145,4,2,75,,2,4,2,52,,
F00145,5,2,85,3,1,6,2,52,,2
F00146,3,3,43,3,2,6,4,15,55,10
F00146,3,3,68,,2,2,3,16,,
F00147,5,3,19,,1,4,1,19,30,
F00147,5,3,49,3,1,4,2,20,30,4
F00147,5,3,50,,2,4,2,50,,
F00148,5,1,81,3,2,1,3,10,,1
F00149,2,1,30,3,2,7,1,3,25,4
F00150,4,2,57,,2,3,2,22,,
F00150,4,2,58,3,1,5,2,22,,10
F00151,5,2,71,3,1,3,2,35,30,4
F00151,5,2,74,,2,3,2,35,,
F00152,4,1,71,3,2,2,3,15,,2
F00153,5,1,74,3,2,4,4,5,,2
F00154,4,3,16,,1,4,1,11,45,
F00154,2,3,52,3,2,6,2,11,20,7
F00154,4,3,56,,1,6,2,11,40,
F00155,5,2,47,,2,4,2,25,,
F00155,5,2,49,3,1,4,2,49,,4
F00156,4,1,60,1,1,2,2,7,30,1
F00157,3,1,39,4,1,5,1,20,,4
F00158,3,1,51,4,1,4,1,14,40,3
F00159,5,1,30,4,2,5,1,20,15,3
F00160,4,1,59,4,1,4,3,25,50,4
F00161,4,1,37,4,1,4,4,5,,1
F00162,4,3,45,,2,3,4,45,,
F00162,5,3,48,,1,2,2,48,40,
F00162,5,3,75,1,2,2,3,55,,5
F00163,4,4,35,,1,3,2,3,50,
F00163,4,4,35,,2,3,2,3,,
F00163,4,4,67,3,1,3,2,3,,6
F00164,4,1,79,3,2,2,4,43,30,2
F00165,5,4,51,,2,4,2,16,40,
F00165,5,4,55,3,1,4,2,15,30,5
F00165,5,4,73,,2,4,3,15,,
F00166,5,1,60,3,2,4,3,60,10,2
F00167,4,2,70,,2,2,2,40,30,
F00167,4,2,78,3,1,4,2,20,,3
F00168,3,1,19,3,2,5,1,6,,2
F00169,2,1,19,3,1,5,1,1,20,1
F00170,3,1,30,3,2,6,1,1,15,4
F00171,3,1,22,3,1,5,1,1,20,2
F00172,2,1,21,3,2,4,1,1,30,4
F00173,3,2,16,,2,4,1,1,5,
F00173,1,2,44,3,2,6,4,1,20,4
F00174,3,3,17,,1,4,1,17,10,
F00174,3,3,22,,1,4,1,20,50,
F00174,2,3,48,3,2,6,4,26,15,7
F00175,5,1,34,3,2,5,1,2,,2
F00176,3,1,27,3,1,6,1,2,50,4
F00177,5,1,84,3,2,2,3,66,,2
F00178,2,3,39,3,2,4,1,26,5,3
F00179,3,3,26,,2,4,1,26,,
F00179,4,3,56,,2,4,2,30,10,
F00179,4,3,58,3,1,4,2,50,50,5
F00180,3,4,35,,1,5,1,23,20,
F00180,3,4,36,,1,5,1,33,40,
F00180,5,4,60,,2,4,2,33,40,
F00180,3,4,62,3,1,4,2,33,20,8
F00181,1,4,30,,2,5,1,30,,
F00181,2,4,32,,2,4,1,32,,
F00181,5,4,53,,2,4,2,30,30,
F00181,3,4,59,3,1,5,2,34,,10
F00182,5,2,65,,2,3,2,45,,
F00182,5,2,71,3,1,4,2,71,,3
F00183,3,4,28,,2,7,1,15,15,
F00183,5,4,34,,1,5,1,29,30,
F00183,3,4,58,,2,3,2,30,10,
F00183,5,4,64,3,1,4,2,30,30,8
F00184,4,1,59,1,1,4,1,30,,1
F00185,5,2,59,,2,2,2,37,,
F00185,5,2,64,3,1,2,2,37,,4
F00186,2,3,27,,1,6,1,27,,
F00186,3,3,53,,2,4,2,34,,
F00186,3,3,55,1,1,4,2,50,30,5
F00187,3,2,32,,1,6,1,10,30,
F00187,4,2,59,1,2,3,3,10,,4
F00188,5,1,72,1,2,2,3,40,,2
F00189,3,1,26,1,1,5,1,2,,2
F00190,4,3,39,,1,6,1,39,15,
F00190,5,3,67,,2,2,2,61,,
F00190,5,3,72,1,1,3,2,56,,6
F00191,4,2,74,,2,3,2,41,,
F00191,5,2,83,1,1,4,2,41,,2
F00192,5,2,51,,2,5,2,16,30,
F00192,4,2,51,1,1,5,2,16,,3
F00193,4,4,18,,1,4,1,18,30,
F00193,4,4,20,,1,6,1,20,20,
F00193,4,4,54,,2,6,2,54,10,
F00193,4,4,59,1,1,6,2,30,10,5
F00194,5,1,60,1,1,4,1,60,,2
F00195,4,1,59,3,2,4,4,37,,2
F00196,4,2,43,,1,6,1,43,20,
F00196,4,2,67,3,2,3,3,47,,5
F00197,5,1,64,3,2,2,3,64,5,3
F00198,3,1,50,3,1,4,1,50,30,3
F00199,4,2,51,,2,5,2,22,30,
F00199,5,2,53,3,1,6,2,22,10,9
F00200,3,1,71,3,1,4,1,18,,1
F00201,3,2,21,,1,4,1,21,30,
F00201,4,2,52,3,2,4,2,30,30,4
F00202,3,4,22,,2,6,1,22,40,
F00202,3,4,26,,1,6,1,23,20,
F00202,2,4,50,,2,4,2,23,40,
F00202,2,4,52,3,1,4,2,23,40,6
F00203,4,1,71,1,1,3,4,22,40,2
F00204,5,1,65,1,2,3,4,7,20,3
F00205,3,1,30,1,2,6,1,7,30,3
F00206,1,1,74,1,2,4,3,15,,3
F00207,1,2,34,,2,4,2,1,,
F00207,1,2,36,1,1,4,2,4,,4
F00208,4,1,85,3,2,1,3,30,,1
F00209,5,1,62,3,2,4,2,42,5,3
F00210,5,2,66,4,1,8,2,45,5,3
F00210,5,2,67,,2,5,2,22,30,
F00211,5,1,69,4,1,6,1,20,,3
F00212,5,1,68,4,1,5,2,50,,3
F00213,4,1,72,1,2,4,4,43,10,2
F00214,5,1,52,3,1,2,4,6,,2
F00215,5,1,72,3,1,2,1,23,,2
F00216,5,1,83,3,1,3,4,30,,2
F00217,4,1,85,3,2,2,3,10,,2
F00218,4,1,79,3,1,4,4,51,,2
F00219,4,1,72,3,1,2,4,16,,1
F00220,4,1,76,3,1,2,4,40,,1
F00221,2,1,29,1,2,6,1,2,10,5
F00222,2,1,28,1,2,6,1,23,20,4
F00223,5,1,75,1,2,2,3,31,10,3
F00224,5,1,26,1,2,4,1,7,15,4
F00225,4,4,35,,2,5,2,17,30,
F00225,4,4,36,1,1,4,2,15,30,8
F00226,4,1,52,1,2,4,4,10,30,3
F00227,4,1,48,1,1,4,1,20,30,5
F00228,5,2,75,,2,3,2,46,,
F00228,5,2,77,1,1,3,2,46,,3
F00229,4,1,35,1,1,6,1,35,20,3
F00230,5,1,63,4,1,4,4,40,,3
F00231,4,1,55,4,1,5,1,30,,4
F00232,4,3,38,,2,4,1,30,,
F00232,4,3,40,,1,4,1,30,10,
F00232,4,3,62,1,2,4,4,30,,4
F00233,2,1,41,1,1,5,1,6,20,5
F00234,4,4,21,,1,6,1,21,30,
F00234,4,4,46,,2,6,2,15,10,
F00234,4,4,52,1,1,4,2,15,20,5
F00235,4,1,31,1,1,5,1,20,15,5
F00236,5,2,63,,2,2,2,20,,
F00236,4,2,67,1,1,3,2,20,20,4
F00237,4,4,50,,2,4,2,15,20,
F00237,5,4,54,1,1,6,2,54,10,4
F00238,5,1,69,3,2,3,3,22,20,3
F00239,3,1,81,3,2,3,3,4,,2
F00240,4,1,26,3,1,4,1,1,,2
F00241,5,2,52,,1,4,4,52,,
F00241,5,2,84,3,1,2,3,66,,3
F00242,4,2,54,,2,4,2,10,20,
F00242,4,2,56,3,1,5,2,10,20,5
F00243,4,2,61,,2,3,2,45,15,
F00243,5,2,65,1,1,4,2,45,50,5
F00244,4,3,36,,1,5,1,36,30,
F00244,4,3,61,,2,4,2,40,30,
F00244,4,3,66,1,1,4,2,40,30,7
F00245,2,3,19,,1,6,1,1,30,
F00245,2,3,23,,2,6,1,4,,
F00245,4,3,71,1,2,2,3,10,20,3
F00246,4,4,16,,1,4,1,16,30,
F00246,3,4,47,,2,5,2,19,,
F00246,4,4,49,3,1,6,2,49,,6
F00247,4,1,58,3,2,4,4,10,,3
F00248,4,2,29,,1,5,1,28,40,
F00248,5,2,65,3,2,4,4,65,,5
F00249,5,5,42,,2,6,2,15,,
F00249,5,5,46,3,1,7,2,43,25,4
F00250,4,1,66,3,2,3,4,40,10,3
F00251,4,5,36,,2,5,2,14,,
F00251,4,5,40,2,1,5,2,40,50,6
F00252,5,3,25,,1,5,1,17,50,
F00252,5,3,61,,2,4,2,17,,
F00252,5,3,63,2,1,4,2,17,30,6
F00253,4,3,39,,2,6,2,10,10,
F00253,4,3,41,2,1,6,2,10,50,6
F00254,4,1,57,2,2,3,4,30,5,4
F00255,5,2,71,2,2,3,2,46,,4
F00256,4,4,49,,1,6,1,49,50,
F00256,5,4,52,,1,6,1,52,50,
F00256,5,4,81,,2,2,2,59,,
F00256,5,4,85,2,1,4,2,57,,9
F00257,3,4,37,,2,4,2,13,,
F00257,3,4,45,2,1,5,2,45,40,4
F00257,3,4,70,,2,4,3,50,,
F00258,4,1,70,2,2,4,1,10,,3
F00259,3,3,27,,1,4,1,27,30,
F00259,5,3,59,,2,5,2,35,10,
F00259,5,3,61,2,1,4,2,32,20,7
F00260,5,2,79,,2,4,2,50,,
F00260,5,2,84,2,1,6,2,50,,4
F00261,5,2,76,,2,2,2,39,,
F00261,5,2,85,2,1,4,2,39,,3
F00262,5,2,78,,2,1,2,30,,
F00262,5,2,78,2,1,2,2,30,,3
F00263,4,4,18,,1,6,1,18,,
F00263,2,4,22,,2,6,1,22,,
F00263,5,4,52,,2,4,2,23,30,
F00263,5,4,54,2,1,5,2,33,20,9
F00264,5,1,80,2,2,3,3,22,,3
F00265,5,2,85,2,1,2,2,55,,4
F00266,5,2,72,,2,5,2,50,,
F00266,5,2,72,1,1,5,2,50,,8
F00267,5,2,44,,1,4,1,20,30,
F00267,5,2,67,3,2,3,3,20,,3
F00268,5,1,79,3,1,4,4,2,,2
F00269,5,2,74,,2,2,2,60,,
